Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key,strength_normalized,dosage_range,frequency,population
METOPROLOL TARTRATE,TABLET,ORAL,50MG,METOPROLOL TARTRATE,ALEMBIC PHARMACEUTICALS LTD,"May 28, 2013",METOPROLOL TARTRATE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,BID,adult
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,ALKEM LABORATORIES LTD,"Nov 25, 2020","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 100 mg TARTRATE,adult: 25-200 mg daily,daily,adult
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,NESHER PHARMACEUTICALS USA LLC,"Mar 20, 2008","METOPROLOL SUCCINATE||EQ 25MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 25 mg TARTRATE,adult: 25-200 mg daily,daily,adult
METOPROLOL TARTRATE,TABLET,ORAL,75MG,METOPROLOL TARTRATE,RUBICON RESEARCH LTD,"Aug 21, 2019",METOPROLOL TARTRATE||75MG||TABLET||ORAL,75 mg,adult: 50-100 mg per dose,BID,adult
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,SUNSHINE LAKE PHARMA CO LTD,"May 23, 2024","METOPROLOL SUCCINATE||EQ 25MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 25 mg TARTRATE,adult: 25-200 mg daily,daily,adult
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,ACTAVIS ELIZABETH LLC,"Nov 25, 2016","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 100 mg TARTRATE,adult: 25-200 mg daily,daily,adult
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,LUPIN PHARMACEUTICALS INC,"Jul 19, 2006",MELOXICAM||15MG||TABLET||ORAL,15 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,YABAO PHARMACEUTICAL CO LTD BEIJING,"Jul 19, 2006",MELOXICAM||15MG||TABLET||ORAL,15 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
BUPIVACAINE; MELOXICAM,"SOLUTION, EXTENDED RELEASE",PERIARTICULAR,200MG/7ML (29.25MG/ML); 6MG/7ML (0.88MG/ML),ZYNRELEF KIT,HERON THERAPEUTICS INC,"May 12, 2021","BUPIVACAINE; MELOXICAM||200MG/7ML (29.25MG/ML); 6MG/7ML (0.88MG/ML)||SOLUTION, EXTENDED RELEASE||PERIARTICULAR",200 mg/7 mL (29.25 mg/mL); 6 mg/7 mL (0.88 mg/mL),single-dose surgical-site infiltration by clinician; no repeat dosing,once,adult perioperative
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,ROXANE LABORATORIES INC,"Jul 19, 2006",MELOXICAM||7.5MG||TABLET||ORAL,7.5 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,CAPSULE,ORAL,10MG,MELOXICAM,NOVITIUM PHARMA LLC,"Mar 9, 2021",MELOXICAM||10MG||CAPSULE||ORAL,10 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,TABLET,ORAL,7.5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,MOBIC,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,"Apr 13, 2000",MELOXICAM||7.5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL,7.5 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,PURACAP PHARMACEUTICAL LLC,"Jul 19, 2006",MELOXICAM||7.5MG||TABLET||ORAL,7.5 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,CIPLA LTD,"Jul 19, 2006",MELOXICAM||7.5MG||TABLET||ORAL,7.5 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,"TABLET, ORALLY DISINTEGRATING",ORAL,15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,QMIIZ ODT,TERSERA THERAPEUTICS LLC,"Oct 19, 2018","MELOXICAM||15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET, ORALLY DISINTEGRATING||ORAL",15 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,UNICHEM LABORATORIES LTD,"Dec 20, 2006",MELOXICAM||15MG||TABLET||ORAL,15 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM; RIZATRIPTAN BENZOATE,TABLET,ORAL,20MG; EQ 10MG BASE,SYMBRAVO,AXSOME THERAPEUTICS INC,"Jan 30, 2025",MELOXICAM; RIZATRIPTAN BENZOATE||20MG; EQ 10MG BASE||TABLET||ORAL,20 mg; eq 10 mg BASE,adult: 1 tablet at migraine onset,PRN; usually max 1 dose/24 h,adult
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,AIPING PHARMACEUTICAL INC,"Jul 19, 2006",MELOXICAM||7.5MG||TABLET||ORAL,7.5 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,IMPAX LABORATORIES INC,"Jul 19, 2006",MELOXICAM||7.5MG||TABLET||ORAL,7.5 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,COREPHARMA LLC,"Jul 20, 2006",MELOXICAM||7.5MG||TABLET||ORAL,7.5 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
BUPIVACAINE; MELOXICAM,"SOLUTION, EXTENDED RELEASE",PERIARTICULAR,60MG/2.3ML (29.25MG/ML); 1.8MG/2.3ML (0.88MG/ML),ZYNRELEF KIT,HERON THERAPEUTICS INC,"May 12, 2021","BUPIVACAINE; MELOXICAM||60MG/2.3ML (29.25MG/ML); 1.8MG/2.3ML (0.88MG/ML)||SOLUTION, EXTENDED RELEASE||PERIARTICULAR",60 mg/2.3 mL (29.25 mg/mL); 1.8 mg/2.3 mL (0.88 mg/mL),single-dose surgical-site infiltration by clinician; no repeat dosing,once,adult perioperative
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,COREPHARMA LLC,"Jul 20, 2006",MELOXICAM||15MG||TABLET||ORAL,15 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,CAPSULE,ORAL,5MG,MELOXICAM,NOVITIUM PHARMA LLC,"Mar 9, 2021",MELOXICAM||5MG||CAPSULE||ORAL,5 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,RISING PHARMA HOLDINGS INC,"Jul 25, 2006",MELOXICAM||7.5MG||TABLET||ORAL,7.5 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,CHINA RESOURCES DOUBLE CRANE PHARMACEUTICAL CO LTD,"Dec 14, 2006",MELOXICAM||7.5MG||TABLET||ORAL,7.5 mg,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
MELOXICAM,SUSPENSION,ORAL,7.5MG/5ML,MELOXICAM,AVONDALE PHARMACEUTICALS LLC,"Jun 1, 2004",MELOXICAM||7.5MG/5ML||SUSPENSION||ORAL,7.5 mg/5 mL,adult: 7.5-15 mg daily; pediatric: 0.125 mg/kg daily (selected indications),daily,adult/pediatric
AMLODIPINE BESYLATE; CELECOXIB,TABLET,ORAL,EQ 10MG BASE; 200MG,CONSENSI,PURPLE BIOTECH LTD,"May 31, 2018",AMLODIPINE BESYLATE; CELECOXIB||EQ 10MG BASE; 200MG||TABLET||ORAL,eq 10 mg BASE; 200 mg,adult: 1 tablet daily,daily,adult
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,CSPC OUYI PHARMACEUTICAL CO LTD,"Jan 23, 2018",CELECOXIB||50MG||CAPSULE||ORAL,50 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,400MG,CELEBREX,UPJOHN US 2 LLC,"Aug 29, 2002",CELECOXIB||400MG||CAPSULE||ORAL,400 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,400MG,CELECOXIB,PANGEA PHARMACEUTICALS LLC,"Dec 9, 2020",CELECOXIB||400MG||CAPSULE||ORAL,400 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,400MG,CELECOXIB,WATSON LABORATORIES INC,"Feb 11, 2015",CELECOXIB||400MG||CAPSULE||ORAL,400 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,400MG,CELECOXIB,TEVA PHARMACEUTICALS USA INC,"May 30, 2014",CELECOXIB||400MG||CAPSULE||ORAL,400 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,MICRO LABS LTD,"Apr 30, 2018",CELECOXIB||100MG||CAPSULE||ORAL,100 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,LUPIN LTD,"Jun 9, 2015",CELECOXIB||200MG||CAPSULE||ORAL,200 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,UNICHEM LABORATORIES LTD,"Jan 12, 2021",CELECOXIB||200MG||CAPSULE||ORAL,200 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,LUPIN LTD,"Oct 29, 2014",CELECOXIB||50MG||CAPSULE||ORAL,50 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,JUBILANT GENERICS LTD,"Apr 4, 2017",CELECOXIB||50MG||CAPSULE||ORAL,50 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,MICRO LABS LTD,"Apr 30, 2018",CELECOXIB||200MG||CAPSULE||ORAL,200 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,56MG; 44MG,SEGLENTIS,KOWA PHARMACEUTICALS AMERICA INC,"Oct 15, 2021",CELECOXIB; TRAMADOL HYDROCHLORIDE||56MG; 44MG||TABLET||ORAL,56 mg; 44 mg,adult: 2 tablets per dose,q12h,adult
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,PHARMOBEDIENT CONSULTING LLC,"May 30, 2014",CELECOXIB||50MG||CAPSULE||ORAL,50 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,TORRENT PHARMACEUTICALS LTD,"Dec 23, 2015",CELECOXIB||50MG||CAPSULE||ORAL,50 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,56MG; 44MG,SEGLENTIS,KOWA PHARMACEUTICALS AMERICA INC,"Oct 15, 2021",CELECOXIB; TRAMADOL HYDROCHLORIDE||56MG; 44MG||TABLET||ORAL,56 mg; 44 mg,adult: 2 tablets per dose,q12h,adult
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,WATSON LABORATORIES INC,"Feb 11, 2015",CELECOXIB||200MG||CAPSULE||ORAL,200 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,"May 31, 2018",CELECOXIB||50MG||CAPSULE||ORAL,50 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,400MG,CELECOXIB,SCIEGEN PHARMACEUTICALS INC,"Dec 3, 2020",CELECOXIB||400MG||CAPSULE||ORAL,400 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,CADILA PHARMACEUTICALS LTD,"Nov 14, 2019",CELECOXIB||200MG||CAPSULE||ORAL,200 mg,adult: 100-200 mg once or twice daily; pediatric: 50-100 mg BID (selected indications),daily-BID,adult/pediatric
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,75MG,DICLOFENAC SODIUM,MICRO LABS LTD,"Feb 26, 1999","DICLOFENAC SODIUM||75MG||TABLET, DELAYED RELEASE||ORAL",75 mg,adult: 25-75 mg per dose,BID-TID,adult
DICLOFENAC SODIUM; MISOPROSTOL,"TABLET, DELAYED RELEASE",ORAL,75MG; 0.2MG,DICLOFENAC SODIUM AND MISOPROSTOL,YUNG SHIN PHARMACEUTICAL INDUSTRIAL CO LTD,"Feb 19, 2020","DICLOFENAC SODIUM; MISOPROSTOL||75MG; 0.2MG||TABLET, DELAYED RELEASE||ORAL",75 mg; 0.2 mg,adult: 1 tablet per dose,BID-TID,adult
DICLOFENAC SODIUM,SOLUTION/DROPS,OPHTHALMIC,0.1%,DICLOFENAC SODIUM,FALCON PHARMACEUTICALS LTD,"May 4, 1998",DICLOFENAC SODIUM||0.1%||SOLUTION/DROPS||OPHTHALMIC,0.1 %,adult: 1 drop in affected eye,QID,adult
DICLOFENAC SODIUM; MISOPROSTOL,"TABLET, DELAYED RELEASE",ORAL,75MG; 0.2MG,ARTHROTEC,PFIZER INC,"Dec 24, 1997","DICLOFENAC SODIUM; MISOPROSTOL||75MG; 0.2MG||TABLET, DELAYED RELEASE||ORAL",75 mg; 0.2 mg,adult: 1 tablet per dose,BID-TID,adult
DICLOFENAC SODIUM; MISOPROSTOL,"TABLET, DELAYED RELEASE",ORAL,50MG; 0.2MG,ARTHROTEC,PFIZER INC,"Dec 24, 1997","DICLOFENAC SODIUM; MISOPROSTOL||50MG; 0.2MG||TABLET, DELAYED RELEASE||ORAL",50 mg; 0.2 mg,adult: 1 tablet per dose,BID-TID,adult
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,75MG,DICLOFENAC SODIUM,UMEDICA LABORATORIES PRIVATE LTD,"Nov 5, 2025","DICLOFENAC SODIUM||75MG||TABLET, DELAYED RELEASE||ORAL",75 mg,adult: 25-75 mg per dose,BID-TID,adult
DICLOFENAC SODIUM,SOLUTION/DROPS,OPHTHALMIC,0.1%,DICLOFENAC SODIUM,RISING PHARMA HOLDINGS INC,"Dec 28, 2007",DICLOFENAC SODIUM||0.1%||SOLUTION/DROPS||OPHTHALMIC,0.1 %,adult: 1 drop in affected eye,QID,adult
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,50MG,DICLOFENAC SODIUM,TEVA PHARMACEUTICALS USA,"Jun 25, 1997","DICLOFENAC SODIUM||50MG||TABLET, DELAYED RELEASE||ORAL",50 mg,adult: 25-75 mg per dose,BID-TID,adult
DICLOFENAC SODIUM,SOLUTION,TOPICAL,1.5%,DICLOFENAC SODIUM,SUN PHARMA CANADA INC,"Nov 26, 2014",DICLOFENAC SODIUM||1.5%||SOLUTION||TOPICAL,1.5 %,adult: 40 drops to each affected knee,QID,adult
DICLOFENAC SODIUM,GEL,TOPICAL,3%,DICLOFENAC SODIUM,ACTAVIS MID ATLANTIC LLC,"Dec 2, 2015",DICLOFENAC SODIUM||3%||GEL||TOPICAL,3 %,adult: apply thin layer to lesion/affected area,BID,adult
DICLOFENAC SODIUM,SOLUTION,TOPICAL,2%,DICLOFENAC SODIUM,LUPIN PHARMACEUTICALS INC,"Sep 20, 2022",DICLOFENAC SODIUM||2%||SOLUTION||TOPICAL,2 %,adult: 2 pumps to each affected knee,BID,adult
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,50MG,DICLOFENAC SODIUM,AUROBINDO PHARMA USA INC,"Feb 12, 2002","DICLOFENAC SODIUM||50MG||TABLET, DELAYED RELEASE||ORAL",50 mg,adult: 25-75 mg per dose,BID-TID,adult
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,25MG,DICLOFENAC SODIUM,CHARTWELL RX SCIENCES LLC,"Sep 28, 1995","DICLOFENAC SODIUM||25MG||TABLET, DELAYED RELEASE||ORAL",25 mg,adult: 25-75 mg per dose,BID-TID,adult
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,50MG,DICLOFENAC SODIUM,UMEDICA LABORATORIES PRIVATE LTD,"Nov 5, 2025","DICLOFENAC SODIUM||50MG||TABLET, DELAYED RELEASE||ORAL",50 mg,adult: 25-75 mg per dose,BID-TID,adult
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,75MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,VOLTAREN,NOVARTIS PHARMACEUTICALS CORP,"Jul 28, 1988","DICLOFENAC SODIUM||75MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET, DELAYED RELEASE||ORAL",75 mg,adult: 25-75 mg per dose,BID-TID,adult
DICLOFENAC SODIUM,GEL,TOPICAL,3%,DICLOFENAC SODIUM,SUN PHARMA CANADA INC,"Apr 28, 2016",DICLOFENAC SODIUM||3%||GEL||TOPICAL,3 %,adult: apply thin layer to lesion/affected area,BID,adult
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,50MG,DICLOFENAC SODIUM,CHARTWELL RX SCIENCES LLC,"Sep 28, 1995","DICLOFENAC SODIUM||50MG||TABLET, DELAYED RELEASE||ORAL",50 mg,adult: 25-75 mg per dose,BID-TID,adult
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,50MG,DICLOFENAC SODIUM,MICRO LABS LTD,"Feb 26, 1999","DICLOFENAC SODIUM||50MG||TABLET, DELAYED RELEASE||ORAL",50 mg,adult: 25-75 mg per dose,BID-TID,adult
DICLOFENAC SODIUM,SOLUTION,TOPICAL,1.5%,DICLOFENAC SODIUM,ZYDUS LIFESCIENCES LTD,"Apr 17, 2018",DICLOFENAC SODIUM||1.5%||SOLUTION||TOPICAL,1.5 %,adult: 40 drops to each affected knee,QID,adult
DICLOFENAC SODIUM,"TABLET, DELAYED RELEASE",ORAL,50MG,DICLOFENAC SODIUM,CARLSBAD TECHNOLOGY INC,"Nov 13, 1998","DICLOFENAC SODIUM||50MG||TABLET, DELAYED RELEASE||ORAL",50 mg,adult: 25-75 mg per dose,BID-TID,adult
NAPROXEN SODIUM; SUMATRIPTAN SUCCINATE,TABLET,ORAL,60MG; EQ 10MG BASE,TREXIMET,CURRAX PHARMACEUTICALS LLC,"May 14, 2015",NAPROXEN SODIUM; SUMATRIPTAN SUCCINATE||60MG; EQ 10MG BASE||TABLET||ORAL,60 mg; eq 10 mg BASE,adult/adolescent >=12: 1 tablet at migraine onset; may repeat once after 2 h in selected labeling,PRN,adult/adolescent >=12
NAPROXEN SODIUM; SUMATRIPTAN SUCCINATE,TABLET,ORAL,60MG; EQ 10MG BASE,TREXIMET,CURRAX PHARMACEUTICALS LLC,"May 14, 2015",NAPROXEN SODIUM; SUMATRIPTAN SUCCINATE||60MG; EQ 10MG BASE||TABLET||ORAL,60 mg; eq 10 mg BASE,adult/adolescent >=12: 1 tablet at migraine onset; may repeat once after 2 h in selected labeling,PRN,adult/adolescent >=12
NAPROXEN,TABLET,ORAL,500MG,NAPROXEN,GLENMARK PHARMACEUTICALS LTD,"Mar 28, 2007",NAPROXEN||500MG||TABLET||ORAL,500 mg,adult: 250-500 mg per dose,BID,adult
NAPROXEN,SUSPENSION,ORAL,25MG/ML,NAPROXEN,HETERO LABS LTD UNIT III,"Jun 7, 2022",NAPROXEN||25MG/ML||SUSPENSION||ORAL,25 mg/mL,adult: 250-500 mg BID; pediatric: 10 mg/kg/day divided BID,BID,adult/pediatric
DIPHENHYDRAMINE HYDROCHLORIDE; NAPROXEN SODIUM,TABLET,ORAL,25MG; 220MG,NAPROXEN SODIUM AND DIPHENHYDRAMINE HYDROCHLORIDE,P AND L DEVELOPMENT LLC,"Jan 25, 2019",DIPHENHYDRAMINE HYDROCHLORIDE; NAPROXEN SODIUM||25MG; 220MG||TABLET||ORAL,25 mg; 220 mg,adult/adolescent >=12: 2 tablets at bedtime,nightly PRN,adult/adolescent >=12
NAPROXEN SODIUM,TABLET,ORAL,220MG,NAPROXEN SODIUM,GRANULES INDIA LTD,"Sep 20, 2011",NAPROXEN SODIUM||220MG||TABLET||ORAL,220 mg,adult/adolescent >=12: 220-550 mg per dose,q8-12h PRN,adult/adolescent >=12
NAPROXEN SODIUM,TABLET,ORAL,EQ 250MG BASE,NAPROXEN SODIUM,SANDOZ INC,"Dec 5, 1994",NAPROXEN SODIUM||EQ 250MG BASE||TABLET||ORAL,eq 250 mg BASE,adult/adolescent >=12: 220-550 mg per dose,q8-12h PRN,adult/adolescent >=12
ESOMEPRAZOLE MAGNESIUM; NAPROXEN,"TABLET, DELAYED RELEASE",ORAL,EQ 20MG BASE; 375MG,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,ACTAVIS LABORATORIES FL INC,"Aug 24, 2022","ESOMEPRAZOLE MAGNESIUM; NAPROXEN||EQ 20MG BASE; 375MG||TABLET, DELAYED RELEASE||ORAL",eq 20 mg BASE; 375 mg,"adult: 1 tablet per dose, at least 30 min before meals",BID,adult
NAPROXEN,TABLET,ORAL,375MG,NAPROXEN,AUROBINDO PHARMA LTD,"Nov 8, 2011",NAPROXEN||375MG||TABLET||ORAL,375 mg,adult: 250-500 mg per dose,BID,adult
NAPROXEN,TABLET,ORAL,375MG,NAPROXEN,IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA,"Feb 28, 1995",NAPROXEN||375MG||TABLET||ORAL,375 mg,adult: 250-500 mg per dose,BID,adult
NAPROXEN,SUSPENSION,ORAL,25MG/ML,NAPROXEN,AUROBINDO PHARMA LTD,"Oct 3, 2025",NAPROXEN||25MG/ML||SUSPENSION||ORAL,25 mg/mL,adult: 250-500 mg BID; pediatric: 10 mg/kg/day divided BID,BID,adult/pediatric
NAPROXEN SODIUM,TABLET,ORAL,EQ 500MG BASE,NAPROXEN SODIUM,IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA,"Mar 14, 1995",NAPROXEN SODIUM||EQ 500MG BASE||TABLET||ORAL,eq 500 mg BASE,adult/adolescent >=12: 220-550 mg per dose,q8-12h PRN,adult/adolescent >=12
NAPROXEN SODIUM,TABLET,ORAL,EQ 500MG BASE,NAPROXEN SODIUM,DR REDDYS LABORATORIES LTD,"Jul 26, 2007",NAPROXEN SODIUM||EQ 500MG BASE||TABLET||ORAL,eq 500 mg BASE,adult/adolescent >=12: 220-550 mg per dose,q8-12h PRN,adult/adolescent >=12
DIPHENHYDRAMINE HYDROCHLORIDE; NAPROXEN SODIUM,TABLET,ORAL,25MG; 220MG,NAPROXEN SODIUM AND DIPHENHYDRAMINE HYDROCHLORIDE,COREPHARMA LLC,"Aug 22, 2019",DIPHENHYDRAMINE HYDROCHLORIDE; NAPROXEN SODIUM||25MG; 220MG||TABLET||ORAL,25 mg; 220 mg,adult/adolescent >=12: 2 tablets at bedtime,nightly PRN,adult/adolescent >=12
NAPROXEN,TABLET,ORAL,375MG,NAPROXEN,TEVA PHARMACEUTICALS USA,"Dec 21, 1993",NAPROXEN||375MG||TABLET||ORAL,375 mg,adult: 250-500 mg per dose,BID,adult
NAPROXEN,"TABLET, DELAYED RELEASE",ORAL,375MG,NAPROXEN,NUVO PHAMACEUTICALS INC,"Sep 19, 2011","NAPROXEN||375MG||TABLET, DELAYED RELEASE||ORAL",375 mg,adult: 250-500 mg per dose,BID,adult
NAPROXEN SODIUM,TABLET,ORAL,EQ 250MG BASE,NAPROXEN SODIUM,PUREPAC PHARMACEUTICAL CO,"Mar 20, 1995",NAPROXEN SODIUM||EQ 250MG BASE||TABLET||ORAL,eq 250 mg BASE,adult/adolescent >=12: 220-550 mg per dose,q8-12h PRN,adult/adolescent >=12
NAPROXEN SODIUM,CAPSULE,ORAL,EQ 200MG BASE,NAPROXEN SODIUM,PATHEON SOFTGELS BV,"Jan 10, 2023",NAPROXEN SODIUM||EQ 200MG BASE||CAPSULE||ORAL,eq 200 mg BASE,adult/adolescent >=12: 220-550 mg per dose,q8-12h PRN,adult/adolescent >=12
NAPROXEN,TABLET,ORAL,500MG,NAPROXEN,AMNEAL PHARMACEUTICALS NY LLC,"Dec 18, 2001",NAPROXEN||500MG||TABLET||ORAL,500 mg,adult: 250-500 mg per dose,BID,adult
NAPROXEN SODIUM,TABLET,ORAL,EQ 250MG BASE,NAPROXEN SODIUM,WATSON LABORATORIES INC,"Dec 21, 1993",NAPROXEN SODIUM||EQ 250MG BASE||TABLET||ORAL,eq 250 mg BASE,adult/adolescent >=12: 220-550 mg per dose,q8-12h PRN,adult/adolescent >=12
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES INC,"Jun 19, 2002",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,q4-6h PRN,adult
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,100MG,TRAMADOL HYDROCHLORIDE,MACLEODS PHARMACEUTICALS LTD,"Jan 31, 2025","TRAMADOL HYDROCHLORIDE||100MG||TABLET, EXTENDED RELEASE||ORAL",100 mg,adult: 100-300 mg daily,daily,adult
