Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key
ASPIRIN; METHOCARBAMOL,TABLET,ORAL,325MG; 400MG,METHOCARBAMOL AND ASPIRIN,JEROME STEVENS PHARMACEUTICALS INC,"Jan 31, 1995",ASPIRIN; METHOCARBAMOL||325MG; 400MG||TABLET||ORAL
AMOXICILLIN,FOR SUSPENSION,ORAL,250MG/5ML,AMOXICILLIN,AUROBINDO PHARMA LTD,"Sep 15, 2014",AMOXICILLIN||250MG/5ML||FOR SUSPENSION||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,TABLET,ORAL,875MG; EQ 125MG BASE,AMOXICILLIN AND CLAVULANATE POTASSIUM,DEVA HOLDING AS,"Sep 15, 2023",AMOXICILLIN; CLAVULANATE POTASSIUM||875MG; EQ 125MG BASE||TABLET||ORAL
AMOXICILLIN; CLARITHROMYCIN; OMEPRAZOLE,"CAPSULE, TABLET, CAPSULE, DELAYED RELEASE",ORAL,"500MG,N/A,N/A; N/A,500MG,N/A; N/A,N/A,20MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**",OMECLAMOX-PAK,CUMBERLAND PHARMACEUTICALS INC,"Feb 8, 2011","AMOXICILLIN; CLARITHROMYCIN; OMEPRAZOLE||500MG,N/A,N/A; N/A,500MG,N/A; N/A,N/A,20MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||CAPSULE, TABLET, CAPSULE, DELAYED RELEASE||ORAL"
AMOXICILLIN; CLAVULANATE POTASSIUM,TABLET,ORAL,500MG; EQ 125MG BASE,AMOXICILLIN AND CLAVULANATE POTASSIUM,SANDOZ INC,"Mar 15, 2002",AMOXICILLIN; CLAVULANATE POTASSIUM||500MG; EQ 125MG BASE||TABLET||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,TABLET,ORAL,875MG; EQ 125MG BASE,AMOXICILLIN AND CLAVULANATE POTASSIUM,SANDOZ INC,"Nov 21, 2002",AMOXICILLIN; CLAVULANATE POTASSIUM||875MG; EQ 125MG BASE||TABLET||ORAL
AMOXICILLIN,CAPSULE,ORAL,250MG,TRIMOX,APOTHECON INC DIV BRISTOL MYERS SQUIBB,"Approved Prior to Jan 1, 1982",AMOXICILLIN||250MG||CAPSULE||ORAL
AMOXICILLIN,FOR SUSPENSION,ORAL,50MG/ML,AMOXIL,US ANTIBIOTICS LLC,"Approved Prior to Jan 1, 1982",AMOXICILLIN||50MG/ML||FOR SUSPENSION||ORAL
AMOXICILLIN,TABLET,ORAL,875MG,AMOXICILLIN,SANDOZ INC,"Jul 13, 2005",AMOXICILLIN||875MG||TABLET||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,TABLET,ORAL,875MG; EQ 125MG BASE,AMOXICILLIN AND CLAVULANATE POTASSIUM,TEVA PHARMACEUTICALS USA INC,"Oct 29, 2002",AMOXICILLIN; CLAVULANATE POTASSIUM||875MG; EQ 125MG BASE||TABLET||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,FOR SUSPENSION,ORAL,200MG/5ML; EQ 28.5MG BASE/5ML,AMOXICILLIN AND CLAVULANATE POTASSIUM,SANDOZ INC,"Jun 5, 2002",AMOXICILLIN; CLAVULANATE POTASSIUM||200MG/5ML; EQ 28.5MG BASE/5ML||FOR SUSPENSION||ORAL
AMOXICILLIN,"TABLET, FOR SUSPENSION",ORAL,400MG,AMOXICILLIN,AUROBINDO PHARMA LTD,"Jan 17, 2007","AMOXICILLIN||400MG||TABLET, FOR SUSPENSION||ORAL"
AMOXICILLIN,CAPSULE,ORAL,500MG,AMOXICILLIN,SANDOZ INC,"Sep 30, 1994",AMOXICILLIN||500MG||CAPSULE||ORAL
AMOXICILLIN,CAPSULE,ORAL,250MG,TRIMOX,APOTHECON SUB BRISTOL MYERS SQUIBB CO,"Approved Prior to Jan 1, 1982",AMOXICILLIN||250MG||CAPSULE||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,FOR SUSPENSION,ORAL,400MG/5ML; EQ 57MG BASE/5ML,AMOXICILLIN AND CLAVULANATE POTASSIUM,SUN PHARMACEUTICAL INDUSTRIES LTD,"Mar 19, 2003",AMOXICILLIN; CLAVULANATE POTASSIUM||400MG/5ML; EQ 57MG BASE/5ML||FOR SUSPENSION||ORAL
AMOXICILLIN,FOR SUSPENSION,ORAL,400MG/5ML,AMOXICILLIN,CHARTWELL RX SCIENCES LLC,"Jun 18, 2007",AMOXICILLIN||400MG/5ML||FOR SUSPENSION||ORAL
AMOXICILLIN,CAPSULE,ORAL,500MG,AMOXICILLIN,TEVA PHARMACEUTICALS USA INC,"Approved Prior to Jan 1, 1982",AMOXICILLIN||500MG||CAPSULE||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,TABLET,ORAL,500MG; EQ 125MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,AUGMENTIN '500',US ANTIBIOTICS LLC,"Aug 6, 1984",AMOXICILLIN; CLAVULANATE POTASSIUM||500MG; EQ 125MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,SANDOZ,"Mar 20, 2008","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL TARTRATE,TABLET,ORAL,50MG,METOPROLOL TARTRATE,CHARTWELL RX SCIENCES LLC,"Mar 25, 1994",METOPROLOL TARTRATE||50MG||TABLET||ORAL
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,SUNSHINE LAKE PHARMA CO LTD,"Sep 26, 2022","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL TARTRATE,TABLET,ORAL,50MG,METOPROLOL TARTRATE,IPCA LABORATORIES LTD,"Jun 17, 2008",METOPROLOL TARTRATE||50MG||TABLET||ORAL
METOPROLOL TARTRATE,TABLET,ORAL,100MG,METOPROLOL TARTRATE,PHARMOBEDIENT CONSULTING LLC,"Dec 21, 1993",METOPROLOL TARTRATE||100MG||TABLET||ORAL
METOPROLOL TARTRATE,INJECTABLE,INJECTION,1MG/ML,METOPROLOL TARTRATE,AMERICAN REGENT INC,"Sep 30, 2009",METOPROLOL TARTRATE||1MG/ML||INJECTABLE||INJECTION
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,VISUM PHARMACEUTICAL CO LTD,"Dec 19, 2018","METOPROLOL SUCCINATE||EQ 200MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL TARTRATE,TABLET,ORAL,50MG,METOPROLOL TARTRATE,SCIEGEN PHARMACEUTICALS INC,"Feb 5, 2020",METOPROLOL TARTRATE||50MG||TABLET||ORAL
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,25MG; 50MG,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,SENORES PHARMACEUTICALS INC,"Jan 8, 2025",HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE||25MG; 50MG||TABLET||ORAL
METOPROLOL TARTRATE,TABLET,ORAL,50MG,METOPROLOL TARTRATE,TEVA PHARMACEUTICALS USA INC,"Sep 30, 1994",METOPROLOL TARTRATE||50MG||TABLET||ORAL
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,NOVAST LABORATORIES LTD,"Feb 6, 2018","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL FUMARATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,LOPRESSOR,NOVARTIS PHARMACEUTICALS CORP,"Dec 27, 1989","METOPROLOL FUMARATE||EQ 200MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL TARTRATE,TABLET,ORAL,37.5MG,METOPROLOL TARTRATE,AUROBINDO PHARMA LTD,"Dec 7, 2023",METOPROLOL TARTRATE||37.5MG||TABLET||ORAL
METOPROLOL SUCCINATE,"CAPSULE, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,KAPSPARGO SPRINKLE,SUN PHARMA INDUSTRIES LTD,"Jan 26, 2018","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||CAPSULE, EXTENDED RELEASE||ORAL"
METOPROLOL SUCCINATE,"CAPSULE, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,KAPSPARGO SPRINKLE,SUN PHARMA INDUSTRIES LTD,"Jan 26, 2018","METOPROLOL SUCCINATE||EQ 25MG TARTRATE||CAPSULE, EXTENDED RELEASE||ORAL"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,HETERO LABS LTD UNIT III,"Nov 6, 2020","METOPROLOL SUCCINATE||EQ 50MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL SUCCINATE,"CAPSULE, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,KAPSPARGO SPRINKLE,SUN PHARMA INDUSTRIES LTD,"Jan 26, 2018","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||CAPSULE, EXTENDED RELEASE||ORAL"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,HETERO LABS LTD UNIT III,"Nov 6, 2020","METOPROLOL SUCCINATE||EQ 50MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL TARTRATE,TABLET,ORAL,25MG,METOPROLOL TARTRATE,MYLAN PHARMACEUTICALS INC,"Jan 16, 2004",METOPROLOL TARTRATE||25MG||TABLET||ORAL
HYDROCHLOROTHIAZIDE; METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,12.5MG; EQ 50MG TARTRATE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,DUTOPROL,CONCORDIA PHARMACEUTICALS INC,"Aug 28, 2006","HYDROCHLOROTHIAZIDE; METOPROLOL SUCCINATE||12.5MG; EQ 50MG TARTRATE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,ACCORD HEALTHCARE INC,"Oct 18, 2022","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL TARTRATE,TABLET,ORAL,100MG,METOPROLOL TARTRATE,TEVA PHARMACEUTICALS USA,"Jan 27, 1994",METOPROLOL TARTRATE||100MG||TABLET||ORAL
METOPROLOL TARTRATE,INJECTABLE,INJECTION,1MG/ML,METOPROLOL TARTRATE,HOSPIRA INC,"Dec 21, 1993",METOPROLOL TARTRATE||1MG/ML||INJECTABLE||INJECTION
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,ALKEM LABORATORIES LTD,"Nov 25, 2020","METOPROLOL SUCCINATE||EQ 200MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL SUCCINATE,"CAPSULE, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,KAPSPARGO SPRINKLE,SUN PHARMA INDUSTRIES LTD,"Jan 26, 2018","METOPROLOL SUCCINATE||EQ 200MG TARTRATE||CAPSULE, EXTENDED RELEASE||ORAL"
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,25MG; 100MG,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Jan 19, 2012",HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE||25MG; 100MG||TABLET||ORAL
METOPROLOL TARTRATE,TABLET,ORAL,50MG,METOPROLOL TARTRATE,SUN PHARMACEUTICAL INDUSTRIES INC,"Dec 10, 1996",METOPROLOL TARTRATE||50MG||TABLET||ORAL
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,ZYDUS PHARMACEUTICALS USA INC,"Mar 23, 2018","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,ZYDUS PHARMACEUTICALS USA INC,"Mar 23, 2018","METOPROLOL SUCCINATE||EQ 200MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL TARTRATE,INJECTABLE,INJECTION,1MG/ML,METOPROLOL TARTRATE,HOSPIRA INC,"Apr 29, 2008",METOPROLOL TARTRATE||1MG/ML||INJECTABLE||INJECTION
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,NOVAST LABORATORIES LTD,"Feb 6, 2018","METOPROLOL SUCCINATE||EQ 50MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL TARTRATE,TABLET,ORAL,100MG,METOPROLOL TARTRATE,SUN PHARMACEUTICAL INDUSTRIES INC,"Dec 10, 1996",METOPROLOL TARTRATE||100MG||TABLET||ORAL
METOPROLOL TARTRATE,TABLET,ORAL,25MG,METOPROLOL TARTRATE,ALEMBIC PHARMACEUTICALS LTD,"May 28, 2013",METOPROLOL TARTRATE||25MG||TABLET||ORAL
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,DOCTOR REDDYS LABORATORIES LTD,"Aug 15, 2012","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,50MG; 100MG,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,MYLAN PHARMACEUTICALS,"Aug 20, 2004",HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE||50MG; 100MG||TABLET||ORAL
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,ZYDUS PHARMACEUTICALS USA INC,"Mar 23, 2018","METOPROLOL SUCCINATE||EQ 25MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL TARTRATE,TABLET,ORAL,25MG,METOPROLOL TARTRATE,ALEMBIC PHARMACEUTICALS LTD,"May 28, 2013",METOPROLOL TARTRATE||25MG||TABLET||ORAL
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,MYLAN PHARMACEUTICALS INC,"Dec 15, 2011","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,YICHANG HUMANWELL PHARMACEUTICAL CO LTD,"Feb 12, 2021","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,MYLAN PHARMACEUTICALS INC,"Dec 15, 2011","METOPROLOL SUCCINATE||EQ 25MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL"
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,ROXANE LABORATORIES INC,"Jul 19, 2006",MELOXICAM||15MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,YUNG SHIN PHARMACEUTICAL INDUSTRIAL CO LTD,"Dec 7, 2006",MELOXICAM||15MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,RISING PHARMA HOLDINGS INC,"Jul 25, 2006",MELOXICAM||15MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,TP ANDA HOLDINGS LLC,"Jul 19, 2006",MELOXICAM||7.5MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,MYLAN PHARMACEUTICALS INC,"Jul 20, 2006",MELOXICAM||15MG||TABLET||ORAL
MELOXICAM,"TABLET, ORALLY DISINTEGRATING",ORAL,15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,QMIIZ ODT,TERSERA THERAPEUTICS LLC,"Oct 19, 2018","MELOXICAM||15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET, ORALLY DISINTEGRATING||ORAL"
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,IMPAX LABORATORIES INC,"Jul 19, 2006",MELOXICAM||15MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,UNICHEM LABORATORIES LTD,"Dec 20, 2006",MELOXICAM||7.5MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,ROXANE LABORATORIES INC,"Jul 19, 2006",MELOXICAM||7.5MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,CIPLA LTD,"Jul 19, 2006",MELOXICAM||15MG||TABLET||ORAL
MELOXICAM,SOLUTION,INTRAVENOUS,30MG/ML (30MG/ML),QAMZOVA,NANJING DELOVA BIOTECH CO LTD,"Apr 22, 2025",MELOXICAM||30MG/ML (30MG/ML)||SOLUTION||INTRAVENOUS
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,NATCO PHARMA LTD,"Jul 19, 2006",MELOXICAM||7.5MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,GLENMARK PHARMACEUTICALS LTD,"Jul 19, 2006",MELOXICAM||15MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,CHARTWELL RX SCIENCES LLC,"Jul 19, 2006",MELOXICAM||15MG||TABLET||ORAL
MELOXICAM,CAPSULE,ORAL,10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,VIVLODEX,ICEUTICA OPERATIONS LLC,"Oct 22, 2015",MELOXICAM||10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||CAPSULE||ORAL
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,NOVITIUM PHARMA LLC,"May 13, 2009",MELOXICAM||7.5MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,MYLAN PHARMACEUTICALS INC,"Jul 20, 2006",MELOXICAM||7.5MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,COREPHARMA LLC,"Jul 20, 2006",MELOXICAM||7.5MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,AUROBINDO PHARMA LTD,"Oct 2, 2006",MELOXICAM||15MG||TABLET||ORAL
BUPIVACAINE; MELOXICAM,"SOLUTION, EXTENDED RELEASE",PERIARTICULAR,60MG/2.3ML (29.25MG/ML); 1.8MG/2.3ML (0.88MG/ML),ZYNRELEF KIT,HERON THERAPEUTICS INC,"May 12, 2021","BUPIVACAINE; MELOXICAM||60MG/2.3ML (29.25MG/ML); 1.8MG/2.3ML (0.88MG/ML)||SOLUTION, EXTENDED RELEASE||PERIARTICULAR"
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,AUROBINDO PHARMA LTD,"Oct 2, 2006",MELOXICAM||7.5MG||TABLET||ORAL
BUPIVACAINE; MELOXICAM,"SOLUTION, EXTENDED RELEASE",PERIARTICULAR,200MG/7ML (29.25MG/ML); 6MG/7ML (0.88MG/ML),ZYNRELEF KIT,HERON THERAPEUTICS INC,"May 12, 2021","BUPIVACAINE; MELOXICAM||200MG/7ML (29.25MG/ML); 6MG/7ML (0.88MG/ML)||SOLUTION, EXTENDED RELEASE||PERIARTICULAR"
MELOXICAM,CAPSULE,ORAL,10MG,MELOXICAM,NOVITIUM PHARMA LLC,"Mar 9, 2021",MELOXICAM||10MG||CAPSULE||ORAL
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,ASCENT PHARMACEUTICALS INC,"Jun 7, 2023",MELOXICAM||7.5MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,MOBIC,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,"Aug 23, 2000",MELOXICAM||15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL
MELOXICAM,SUSPENSION,ORAL,7.5MG/5ML,MELOXICAM,AVONDALE PHARMACEUTICALS LLC,"Jun 1, 2004",MELOXICAM||7.5MG/5ML||SUSPENSION||ORAL
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,CIPLA LTD,"Jul 19, 2006",MELOXICAM||7.5MG||TABLET||ORAL
BUPIVACAINE; MELOXICAM,"SOLUTION, EXTENDED RELEASE",PERIARTICULAR,400MG/14ML (29.25MG/ML); 12MG/14ML (0.88MG/ML),ZYNRELEF KIT,HERON THERAPEUTICS INC,"May 12, 2021","BUPIVACAINE; MELOXICAM||400MG/14ML (29.25MG/ML); 12MG/14ML (0.88MG/ML)||SOLUTION, EXTENDED RELEASE||PERIARTICULAR"
MELOXICAM,SOLUTION,INTRAVENOUS,30MG/ML (30MG/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,ANJESO,BAUDAX BIO INC,"Feb 20, 2020",MELOXICAM||30MG/ML (30MG/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||SOLUTION||INTRAVENOUS
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,NOVITIUM PHARMA LLC,"May 13, 2009",MELOXICAM||15MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,UNICHEM LABORATORIES LTD,"Dec 20, 2006",MELOXICAM||15MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,7.5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,MOBIC,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,"Apr 13, 2000",MELOXICAM||7.5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,AIPING PHARMACEUTICAL INC,"Jul 19, 2006",MELOXICAM||15MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,TARO PHARMACEUTICAL INDUSTRIES LTD,"Nov 7, 2006",MELOXICAM||15MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,15MG,MELOXICAM,PURACAP PHARMACEUTICAL LLC,"Jul 19, 2006",MELOXICAM||15MG||TABLET||ORAL
BUPIVACAINE; MELOXICAM,"SOLUTION, EXTENDED RELEASE",PERIARTICULAR,300MG/10.5ML (29.25MG/ML); 9MG/10.5ML (0.88MG/ML),ZYNRELEF KIT,HERON THERAPEUTICS INC,"May 12, 2021","BUPIVACAINE; MELOXICAM||300MG/10.5ML (29.25MG/ML); 9MG/10.5ML (0.88MG/ML)||SOLUTION, EXTENDED RELEASE||PERIARTICULAR"
MELOXICAM,SOLUTION,INTRAVENOUS,30MG/ML (30MG/ML),XIFYRM,AZURITY PHARMACEUTICALS INC,"Jun 5, 2025",MELOXICAM||30MG/ML (30MG/ML)||SOLUTION||INTRAVENOUS
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,CHINA RESOURCES DOUBLE CRANE PHARMACEUTICAL CO LTD,"Dec 14, 2006",MELOXICAM||7.5MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,IMPAX LABORATORIES INC,"Jul 19, 2006",MELOXICAM||7.5MG||TABLET||ORAL
MELOXICAM,TABLET,ORAL,7.5MG,MELOXICAM,CHARTWELL RX SCIENCES LLC,"Jul 19, 2006",MELOXICAM||7.5MG||TABLET||ORAL
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,YILING PHARMACEUTICAL LTD,"Mar 6, 2020",CELECOXIB||100MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,MACLEODS PHARMACEUTICALS LTD,"Mar 16, 2016",CELECOXIB||100MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,YILING PHARMACEUTICAL LTD,"Mar 6, 2020",CELECOXIB||200MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,TORRENT PHARMACEUTICALS LTD,"Dec 23, 2015",CELECOXIB||200MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,TEVA PHARMACEUTICALS USA INC,"May 30, 2014",CELECOXIB||100MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,QINGDAO BAHEAL PHARMACEUTICAL CO LTD,"Aug 7, 2019",CELECOXIB||100MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,CADILA PHARMACEUTICALS LTD,"Nov 14, 2019",CELECOXIB||50MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,ALEMBIC PHARMACEUTICALS LTD,"Aug 21, 2015",CELECOXIB||50MG||CAPSULE||ORAL
CELECOXIB; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,56MG; 44MG,SEGLENTIS,KOWA PHARMACEUTICALS AMERICA INC,"Oct 15, 2021",CELECOXIB; TRAMADOL HYDROCHLORIDE||56MG; 44MG||TABLET||ORAL
CELECOXIB,CAPSULE,ORAL,400MG,CELECOXIB,WATSON LABORATORIES INC,"Feb 11, 2015",CELECOXIB||400MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,YABAO PHARMACEUTICAL CO LTD BEIJING,"Apr 10, 2023",CELECOXIB||200MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,400MG,CELEBREX,UPJOHN US 2 LLC,"Aug 29, 2002",CELECOXIB||400MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,UMEDICA LABORATORIES PRIVATE LTD,"Nov 27, 2019",CELECOXIB||200MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,100MG,CELECOXIB,PHARMOBEDIENT CONSULTING LLC,"Feb 11, 2015",CELECOXIB||100MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,50MG,CELECOXIB,MICRO LABS LTD,"Apr 30, 2018",CELECOXIB||50MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,SCIEGEN PHARMACEUTICALS INC,"Dec 3, 2020",CELECOXIB||200MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,AUROBINDO PHARMA LTD,"Feb 1, 2016",CELECOXIB||200MG||CAPSULE||ORAL
CELECOXIB,CAPSULE,ORAL,200MG,CELECOXIB,CADILA PHARMACEUTICALS LTD,"Nov 14, 2019",CELECOXIB||200MG||CAPSULE||ORAL
